[ 2025-03-18 19:40:13,212] 15 root - INFO - Initiatiing of Data Ingestion
[ 2025-03-18 19:40:19,099] 57 root - INFO - Performed train test split on the dataframe
[ 2025-03-18 19:40:19,100] 59 root - INFO - Exited split_data_as_train_test method of DataIngestion class
[ 2025-03-18 19:40:19,100] 65 root - INFO - Exporting train and test file path.
[ 2025-03-18 19:40:19,149] 75 root - INFO - Exported train and test file path.
[ 2025-03-18 19:40:19,150] 17 root - INFO - Data Ingestion Completed
[ 2025-03-18 19:40:19,167] 21 root - INFO - Initiate the data validation
[ 2025-03-18 19:40:19,216] 32 root - INFO - Required number of columns:2
[ 2025-03-18 19:40:19,218] 33 root - INFO - Data frame has columns:31
[ 2025-03-18 19:40:19,218] 32 root - INFO - Required number of columns:2
[ 2025-03-18 19:40:19,218] 33 root - INFO - Data frame has columns:31
[ 2025-03-18 19:40:19,420] 23 root - INFO - Data Validation Completed
